Source File,Page,Period,Line
670_1336993801.pdf,3,31.03.2012,Dividend per share (Rs) 6.00 3.00
670_1336993801.pdf,3,31.03.2012,"*Computed based on 59,861,512 ordinary shares on issue as at March 31, 2012."
670_1336993801.pdf,4,31.03.2012,Year to Year to Increase/ 03 months to 03 months to
670_1336993801.pdf,4,31.03.2012,31.03.2012 31.03.2011 (Decrease) 31.03.2012 31.03.2011
670_1336993801.pdf,4,31.03.2012,Rs.'000 Rs.'000 % Rs.'000 Rs.'000
670_1336993801.pdf,4,31.03.2012,"Turnover 1,798,644 1,449,344 24 449,989 453,007"
670_1336993801.pdf,4,31.03.2012,"Cost of sales (1,449,966) (1,168,680) 24 (363,232) (350,129)"
670_1336993801.pdf,4,31.03.2012,"Gross profit 348,678 280,664 24 86,757 102,878"
670_1336993801.pdf,4,31.03.2012,"Other income 1,148,171 12,586 9,023 2,822 737"
670_1336993801.pdf,4,31.03.2012,"Administrative expenses (285,052) (280,463) 2 (60,449) (78,395)"
670_1336993801.pdf,4,31.03.2012,"Distribution expenses (15,993) 43 (37,293) 628 7,262"
670_1336993801.pdf,4,31.03.2012,"Other expenses (2,686) (3,295) (18) 5,151 1,541"
670_1336993801.pdf,4,31.03.2012,"Provision for diminution in value of investments (150,000) - - (150,000) -"
670_1336993801.pdf,4,31.03.2012,"Net finance income / (cost) 37,159 137,632 (73) (56,471) 74,360"
670_1336993801.pdf,4,31.03.2012,"Profit before tax 1,080,277 147,167 634 (171,562) 108,383"
670_1336993801.pdf,4,31.03.2012,"Income tax expense 2,416 (16,602) (115) 1,190 (16,602)"
670_1336993801.pdf,4,31.03.2012,"Profit for the year 1,082,693 130,565 729 (170,372) 91,781"
670_1336993801.pdf,4,31.03.2012,for the year (Rs.) * 18.09 2.18 (2.85) 1.53
670_1336993801.pdf,4,31.03.2012,for the year (Rs.) * 18.09 2.18 (2.85) 1.53
670_1336993801.pdf,4,31.03.2012,Dividend per share (Rs) 6.00 3.00
670_1336993801.pdf,4,31.03.2012,"*Computed based on 59,861,512 ordinary shares on issue as at March 31, 2012."
670_1343902578685.pdf,3,31.03.2012,year to year to 03 months to 03 months to(Decrease) 03 months to 03 months to(Decrease)
670_1343902578685.pdf,3,31.03.2012,31.03.2012 31.03.2012 30.06.2012 30.06.2011 % 30.06.2012 30.06.2011 %
670_1343902578685.pdf,3,31.03.2012,Rs.'000 Rs.'000 Rs.'000 Rs.'000 Rs.'000 Rs.'000
670_1343902578685.pdf,3,31.03.2012,"19,786,485 1,798,644 Turnover 5,500,797 4,743,149 16 447,726 460,726 (3)"
670_1343902578685.pdf,3,31.03.2012,"(16,344,798) (1,449,966) Cost of sales (4,512,723) (3,718,830) 21 (335,891) (353,214) (5)"
670_1343902578685.pdf,3,31.03.2012,"3,441,687 348,678 Gross profit 988,074 1,024,319 (4) 111,835 107,512 4"
670_1343902578685.pdf,3,31.03.2012,"1,216,969 1,148,171 Other income 9,086 4,818 89 2,793 882 217"
670_1343902578685.pdf,3,31.03.2012,"(1,568,983) (285,052) Administrative expenses (423,444) (369,557) 15 (78,380) (67,865) 15"
670_1343902578685.pdf,3,31.03.2012,"(453,411) (15,993) Distribution expenses (119,732) (110,650) 8 ( 7,823) ( 2,825) 177"
670_1343902578685.pdf,3,31.03.2012,"(12,935) (2,686) Other expenses ( 7,705) ( 2,169) 255 ( 6,744) ( 1,538) 338"
670_1343902578685.pdf,3,31.03.2012,"(212,111) 37,159 Net finance income / (cost) (48,840) 1,580 (3,191) 4,183 15,130 (72)"
670_1343902578685.pdf,3,31.03.2012,"(27,067) - investee (net of tax) - 19,397 (100) - - -"
670_1343902578685.pdf,3,31.03.2012,"2,384,149 1,080,277 Profit before tax 397,439 567,738 (30) 25,864 51,296 (50)"
670_1343902578685.pdf,3,31.03.2012,"(290,168) 2,416 Income tax (expense) / release (69,844) (81,255) (14) 972 ( 3,798) (126)"
670_1343902578685.pdf,3,31.03.2012,"2,093,981 1,082,693 Profit for the period 327,595 486,483 (33) 26,836 47,498 (44)"
670_1343902578685.pdf,3,31.03.2012,"1,866,627 1,082,693 Equity holders of the Company 285,683 390,369 (27) 26,836 47,498 (44)"
670_1343902578685.pdf,3,31.03.2012,"227,354 - Non-controlling interest 41,912 96,114 (56) - - -"
670_1343902578685.pdf,3,31.03.2012,"2,093,981 1,082,693 Profit for the period 327,595 486,483 (33) 26,836 47,498 (44)"
670_1343902578685.pdf,3,31.03.2012,31.18 18.09 for the period (Rs.) * 4.77 6.52 0.45 0.79
670_1343902578685.pdf,3,31.03.2012,31.18 18.09 for the period (Rs.) * 4.77 6.52 0.45 0.79
670_1343902578685.pdf,3,31.03.2012,6.00 6.00 Dividend per share (Rs) - - - -
670_1343902578685.pdf,3,31.03.2012,"*Computed based on 59,861,512 ordinary shares on issue as at June 30, 2012."
670_1343902578685.pdf,3,31.03.2012,The notes to the financial statements on pages 6 & 7 form an integral part of the financial statements.
670_1351681183.pdf,3,31.03.2012,year to 06 months to 06 months to (Decrease) 03 months to 03 months to
670_1351681183.pdf,3,31.03.2012,31.03.2012 30.09.2012 30.09.2011 % 30.09.2012 30.09.2011
670_1351681183.pdf,3,31.03.2012,Rs.'000 Rs.'000 Rs.'000 Rs.'000 Rs.'000
670_1351681183.pdf,3,31.03.2012,"(16,344,798) Cost of sales (9,315,687) (7,972,843) 1 7 (4,802,964) (4,254,013)"
670_1351681183.pdf,3,31.03.2012,"3 ,441,687 Gross profit 2,177,485 1,674,979 3 0 1,189,411 650,660"
670_1351681183.pdf,3,31.03.2012,"1 ,216,969 Other income 18,588 1,174,537 (98) 9,502 1,169,719"
670_1351681183.pdf,3,31.03.2012,"(1,568,983) Administrative expenses (863,119) (740,940) 1 6 (439,675) (371,383)"
670_1351681183.pdf,3,31.03.2012,"(453,411) Distribution expenses (247,646) (216,603) 1 4 (127,914) (105,953)"
670_1351681183.pdf,3,31.03.2012,"(12,935) Other expenses (10,652) (4,538) 1 35 (2,947) (2,369)"
670_1351681183.pdf,3,31.03.2012,"(212,111) Net finance cost (150,004) (38,278) 2 92 (101,164) (39,858)"
670_1351681183.pdf,3,31.03.2012,"(27,067) Share of loss of equity accounted investee (net of tax) - (27,067) (100) - (46,464)"
670_1351681183.pdf,3,31.03.2012,"2 ,384,149 Profit before tax 924,652 1,822,090 (49) 527,213 1,254,352"
670_1351681183.pdf,3,31.03.2012,"(290,168) Income tax expense (172,977) (140,073) 2 3 (103,133) (58,818)"
670_1351681183.pdf,3,31.03.2012,"2 ,093,981 Profit for the period 751,675 1,682,017 (55) 424,080 1,195,534"
670_1351681183.pdf,3,31.03.2012,"1 ,866,627 Equity holders of the Company 630,702 1,579,628 (60) 345,019 1,189,259"
670_1351681183.pdf,3,31.03.2012,"227,354 Non-controlling interest 120,973 102,389 1 8 79,061 6,275"
670_1351681183.pdf,3,31.03.2012,"2 ,093,981 Profit for the period 751,675 1,682,017 (55) 424,080 1,195,534"
670_1351681183.pdf,3,31.03.2012,3 1.18 for the period (Rs.) * 10.54 26.39 5.76 19.87
670_1351681183.pdf,3,31.03.2012,3 1.18 for the period (Rs.) * 10.54 26.39 5.76 19.87
670_1351681183.pdf,3,31.03.2012,6 .00 Dividend per share (Rs) - - - -
670_1351681183.pdf,3,31.03.2012,"*Computed based on 59,861,512 ordinary shares on issue as at September 30, 2012."
670_1351681183.pdf,3,31.03.2012,The notes to the financial statements on pages from 7 to 9 form an integral part of the financial statements.
670_1351681183.pdf,4,31.03.2012,year to 06 months to 06 months to (Decrease) 03 months to 03 months to
670_1351681183.pdf,4,31.03.2012,31.03.2012 30.09.2012 30.09.2011 % 30.09.2012 30.09.2011
670_1351681183.pdf,4,31.03.2012,Rs.'000 Rs.'000 Rs.'000 Rs.'000 Rs.'000
670_1351681183.pdf,4,31.03.2012,"1,798,644 Turnover 1,008,076 930,491 8 560,350 469,765"
670_1351681183.pdf,4,31.03.2012,"( 1,449,966) Cost of sales (737,744) (736,240) 0 (401,853) (383,026)"
670_1351681183.pdf,4,31.03.2012,"348,678 Gross profit 270,332 194,251 39 158,497 8 6,739"
670_1351681183.pdf,4,31.03.2012,"1,148,171 Other income 5 ,586 1,142,595 (100) 2 ,793 1,141,713"
670_1351681183.pdf,4,31.03.2012,"(285,052) Administrative expenses (156,201) (140,995) 11 (77,821) (73,130)"
670_1351681183.pdf,4,31.03.2012,"(15,993) Distribution expenses (26,658) (8,911) 199 (18,835) (6,086)"
670_1351681183.pdf,4,31.03.2012,"(2,686) Other expenses (7,624) (3,116) 145 (880) (1,578)"
670_1351681183.pdf,4,31.03.2012,"3 7,159 Net finance income 123,127 7 3,628 67 118,944 5 8,498"
670_1351681183.pdf,4,31.03.2012,"1,080,277 Profit before tax 208,562 1,257,452 ( 83) 182,698 1,206,156"
670_1351681183.pdf,4,31.03.2012,"2 ,416 Income tax (expense) / release (14,635) (3,748) 290 (15,607) 50"
670_1351681183.pdf,4,31.03.2012,"1,082,693 Profit for the period 193,927 1,253,704 ( 85) 167,091 1,206,206"
670_1351681183.pdf,4,31.03.2012,1 8.09 for the period (Rs.) * 3.24 2 0.94 2.79 2 0.15
670_1351681183.pdf,4,31.03.2012,1 8.09 for the period (Rs.) * 3.24 2 0.94 2.79 2 0.15
670_1351681183.pdf,4,31.03.2012,"*Computed based on 59,861,512 ordinary shares on issue as at September 30, 2012."
670_1351681183.pdf,4,31.03.2012,The notes to the financial statements on pages from 7 to 9 form an integral part of the financial statements.
670_1351681183.pdf,8,"year ended March 31, 2012 ","Statements for the year ended March 31, 2012 and are in compliance with the Sri Lanka Accounting Standard 35 - Interim Financial Reporting."
670_1351681183.pdf,8,"year ended March 31, 2012 ","on or after January 01, 2012. These Sri Lanka Accounting Standards comprise of Accounting Standards prefixed both SLFRS (corresponding to IFRS) and LKAS"
670_1351681183.pdf,8,"year ended March 31, 2012 ","of Sri Lanka has decided to allow Companies to prepare Interim Financial Statements during the first financial year commencing on or after January 01, 2012 in accordance"
670_1351681183.pdf,8,"year ended March 31, 2012 ",Rs.'000 Rs.'000 Rs.'000 Rs.'000
670_1351681183.pdf,8,"year ended March 31, 2012 ","Inventory The measurements of products that are the result of processing after harvest 5 ,196 - (32,557) (37,753)"
670_1351681183.pdf,8,"year ended March 31, 2012 ","Property Plant Considering distinguish expected usage, technical and commercial obsolescence, 1 4,810 - 118,607 103,797"
670_1360143525.pdf,3,31.03.2012,year to 09 months to 09 months to (Decrease) 03 months to 03 months to
670_1360143525.pdf,3,31.03.2012,31.03.2012 31.12.2012 31.12.2011 % 31.12.2012 31.12.2011
670_1360143525.pdf,3,31.03.2012,Rs.'000 Rs.'000 Rs.'000 Rs.'000 Rs.'000
670_1360143525.pdf,3,31.03.2012,"19,786,485 Turnover 17,375,827 14,539,750 20 5,882,655 4,891,928"
670_1360143525.pdf,3,31.03.2012,"(16,344,798) Cost of sales (14,036,329) (12,070,023) 16 (4,720,642) (4,097,180)"
670_1360143525.pdf,3,31.03.2012,"3,441,687 Gross profit 3,339,498 2,469,727 35 1,162,013 794,748"
670_1360143525.pdf,3,31.03.2012,"1,216,969 Other income 48,287 1,178,485 ( 96) 29,699 3,948"
670_1360143525.pdf,3,31.03.2012,"(1,568,983) Administrative expenses (1,291,103) (1,149,630) 12 (427,984) (408,690)"
670_1360143525.pdf,3,31.03.2012,"(453,411) Distribution expenses (365,885) (323,264) 13 (118,239) (106,661)"
670_1360143525.pdf,3,31.03.2012,"(12,935) Other expenses (17,827) (9,500) 88 (7,175) (4,962)"
670_1360143525.pdf,3,31.03.2012,"(212,111) Net finance cost (201,192) (97,030) 107 (51,188) (58,752)"
670_1360143525.pdf,3,31.03.2012,"(27,067) Share of loss of equity accounted investee (net of tax) - (27,067) ( 100) - -"
670_1360143525.pdf,3,31.03.2012,"2,384,149 Profit before tax 1,511,778 2,041,721 ( 26) 587,126 219,631"
670_1360143525.pdf,3,31.03.2012,"(290,168) Income tax expense (271,012) (184,698) 47 (98,035) (44,625)"
670_1360143525.pdf,3,31.03.2012,"2,093,981 Profit for the period 1,240,766 1,857,023 ( 33) 489,091 175,006"
670_1360143525.pdf,3,31.03.2012,"1,866,627 Equity holders of the Company 1,038,406 1,730,275 ( 40) 407,704 150,647"
670_1360143525.pdf,3,31.03.2012,"227,354 Non-controlling interest 202,360 126,748 60 81,387 24,359"
670_1360143525.pdf,3,31.03.2012,"2,093,981 Profit for the period 1,240,766 1,857,023 ( 33) 489,091 175,006"
670_1360143525.pdf,3,31.03.2012,31.18 for the period (Rs.) * 17.35 28.90 6.81 2.52
670_1360143525.pdf,3,31.03.2012,31.18 for the period (Rs.) * 17.35 28.90 6.81 2.52
670_1360143525.pdf,3,31.03.2012,"*Computed based on 59,861,512 ordinary shares on issue as at December 31, 2012."
670_1360143525.pdf,3,31.03.2012,The notes to the financial statements on pages from 7 to 9 form an integral part of the financial statements.
670_1360143525.pdf,4,31.03.2012,year to 09 months to 09 months to(Decrease) 03 months to 03 months to
670_1360143525.pdf,4,31.03.2012,31.03.2012 31.12.2012 31.12.2011 % 31.12.2012 31.12.2011
670_1360143525.pdf,4,31.03.2012,Rs.'000 Rs.'000 Rs.'000 Rs.'000 Rs.'000
670_1360143525.pdf,4,31.03.2012,"(1,449,966) Cost of sales (1,113,699) (1,086,734) 2 (375,955) (350,494)"
670_1360143525.pdf,4,31.03.2012,"3 48,678 Gross profit 3 93,411 2 61,921 50 1 23,079 6 7,670"
670_1360143525.pdf,4,31.03.2012,"1,148,171 Other income 8,857 1 ,145,349 ( 99) 3,271 2,754"
670_1360143525.pdf,4,31.03.2012,"(285,052) Administrative expenses (234,694) (224,603) 4 (78,493) (83,608)"
670_1360143525.pdf,4,31.03.2012,"(15,993) Distribution expenses (35,113) (16,621) 111 (8,455) (7,710)"
670_1360143525.pdf,4,31.03.2012,"(2,686) Other expenses (13,536) (7,837) 73 (5,912) (4,721)"
670_1360143525.pdf,4,31.03.2012,"3 7,159 Net finance income 1 30,368 9 3,630 39 7,241 2 0,002"
670_1360143525.pdf,4,31.03.2012,"1,080,277 Profit before tax 2 49,293 1 ,251,839 ( 80) 4 0,731 (5,613)"
670_1360143525.pdf,4,31.03.2012,"2,416 Income tax (expense) / release (20,219) 1,226 (1,749) (5,584) 4,974"
670_1360143525.pdf,4,31.03.2012,"1,082,693 Profit for the period 2 29,074 1 ,253,065 ( 82) 3 5,147 (639)"
670_1360143525.pdf,4,31.03.2012,18.09 for the period (Rs.) * 3.83 20.93 0.59 (0.01)
670_1360143525.pdf,4,31.03.2012,18.09 for the period (Rs.) * 3.83 20.93 0.59 (0.01)
670_1360143525.pdf,4,31.03.2012,"*Computed based on 59,861,512 ordinary shares on issue as at December 31, 2012."
670_1360143525.pdf,4,31.03.2012,The notes to the financial statements on pages from 7 to 9 form an integral part of the financial statements.
670_1360143525.pdf,8,"year ended March 31, 2012 ","Statements for the year ended March 31, 2012 and are in compliance with the Sri Lanka Accounting Standard 35 - Interim Financial Reporting."
670_1360143525.pdf,8,"year ended March 31, 2012 ","beginning on or after January 01, 2012. These Sri Lanka Accounting Standards comprise of Accounting Standards prefixed both SLFRS (corresponding to IFRS) and LKAS"
670_1360143525.pdf,8,"year ended March 31, 2012 ","Accountants of Sri Lanka has decided to allow Companies to prepare Interim Financial Statements during the first financial year commencing on or after January 01, 2012 in"
670_1360143525.pdf,8,"year ended March 31, 2012 ","Statement of December 31, at March 31,"
670_1360143525.pdf,8,"year ended March 31, 2012 ",Nature of SLFRS/LKAS adjustment Statement of Other 2012 2012
670_1360143525.pdf,8,"year ended March 31, 2012 ",Rs.'000 Rs.'000 Rs.'000 Rs.'000
670_1360143525.pdf,8,"year ended March 31, 2012 ","Inventory The measurements of products that are the result of processing after harvest ( 9,332) - ( 71,777) (62,445)"
670_1360143525.pdf,8,"year ended March 31, 2012 ","Property Plant Considering distinguish expected usage, technical and commercial obsolescence, 8,033 - 517,938 509,905"
670_1360143525.pdf,8,"year ended March 31, 2012 ","Biological LKAS 41 - Agriculture - The fair value of managed timber has to be ascertained in 9,819 - 14,406 4,587"
670_1368615065525.pdf,5,31.03.2013,Rs.'000 Rs.'000 Rs.'000 Rs.'000
670_1368615065525.pdf,5,31.03.2013,"Profit for the Year 1,784,273 2,142,756 753,838 1,065,323"
670_1368615065525.pdf,5,31.03.2013,"Net Exchange differences on translation of foreign operations 156,097 ( 20,498) - -"
670_1368615065525.pdf,5,31.03.2013,"reclassified to profit or loss - (1,156,715) - (1,156,715)"
670_1368615065525.pdf,5,31.03.2013,"Revaluation of Lands 69,591 - 45,297 -"
670_1368615065525.pdf,5,31.03.2013,"Other comprehensive income for the period, net of tax 2 25,688 ( 1,177,213) 4 5,297 ( 1,156,715)"
670_1368615065525.pdf,5,31.03.2013,"Total comprehensive income for the period, net of tax 2 ,009,961 9 65,543 7 99,135 ( 91,392)"
670_1368615065525.pdf,7,Unknown Period,For the year ended 31 March 2013
670_1368615065525.pdf,7,Unknown Period,Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000
670_1368615065525.pdf,7,Unknown Period,"Profit for the year 1,893,749 1,893,749 225,719 2,119,468"
670_1368615065525.pdf,7,Unknown Period,"Other comprehensive income 1 2,225 ( 1,156,716) ( 20,498) (1,164,989) 11,057 (1,153,932)"
670_1368615065525.pdf,7,Unknown Period,"Total comprehensive income - - - - 1 2,225 ( 1,156,716) ( 20,498) - 1,893,749 728,760 236,776 965,536"
670_1368615065525.pdf,7,Unknown Period,"Adjustment due to changes in holding 19,748 19,748 732,853 752,601"
670_1368615065525.pdf,7,Unknown Period,"Transfers 3 ,337 1 10,329 ( 113,666) -"
670_1368615065525.pdf,7,Unknown Period,"Dividends ( 89,792) (89,792) (59,532) (149,324)"
670_1368615065525.pdf,7,Unknown Period,"Balance as at March 31, 2012 5 98,615 25,384 189,517 2 1,935 2 9,845 1 6 9 0,928 9 27,688 3,917,121 5,801,049 1,750,494 7,551,543"
670_1368615065525.pdf,7,Unknown Period,"Profit for the year 1,400,502 1,400,502 360,786 1,761,288"
670_1368615065525.pdf,7,Unknown Period,"Other comprehensive income 69,591 1 7,386 ( 2) 1 56,097 243,072 39,900 282,972"
670_1368615065525.pdf,7,Unknown Period,"Total comprehensive income - - 69,591 - 1 7,386 ( 2) 1 56,097 - 1,400,502 1,643,574 400,686 2,044,260"
670_1368615065525.pdf,7,Unknown Period,"Adjustments - 1 09 ( 1,395) (1,286) 6,741 5,455"
670_1368615065525.pdf,7,Unknown Period,"Transfers 142,025 - 4 ,426 - - 2 42,012 ( 388,463) - - -"
670_1368615065525.pdf,7,Unknown Period,"Dividends ( 598,615) (598,615) (89,281) (687,896)"
670_1368615065525.pdf,7,Unknown Period,"Balance as at March 31, 2013 5 98,615 167,409 259,108 2 6,361 4 7,231 1 4 2 47,134 1 ,169,700 4,329,150 6,844,722 2,068,640 8,913,362"
670_1368615065525.pdf,7,Unknown Period,For the year ended 31 March 2013
670_1368615065525.pdf,7,Unknown Period,Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000 Rs. '000
670_1368615065525.pdf,7,Unknown Period,"Profit for the year 1,065,323 1,065,323"
670_1368615065525.pdf,7,Unknown Period,"Other comprehensive income - ( 1,156,709) - (1,156,709)"
670_1368615065525.pdf,7,Unknown Period,"Total comprehensive income - - - - - ( 1,156,709) - - 1,065,323 (91,386)"
670_1368615065525.pdf,7,Unknown Period,"Dividends ( 89,792) (89,792)"
670_1368615065525.pdf,7,Unknown Period,"Balance as at March 31, 2012 5 98,615 - 133,608 1 80 - - - - 2,136,600 2,869,003"
670_1368615065525.pdf,7,Unknown Period,"Profit for the year 753,838 753,838"
670_1368615065525.pdf,7,Unknown Period,"Other comprehensive income 45,297 - - - 45,297"
670_1368615065525.pdf,7,Unknown Period,"Total comprehensive income - - 45,297 - - - - - 753,838 799,135"
670_1368615065525.pdf,7,Unknown Period,"Dividends ( 598,615) (598,615)"
670_1368615065525.pdf,7,Unknown Period,"Balance as at March 31, 2013 5 98,615 - 178,905 1 80 - - - - 2,291,823 3,069,523"
670_1368615065525.pdf,9,31.03.2012,31.03.2012 Remeasurements 31.03.2012 31.03.2012 Remeasurements 31.03.2012
670_1368615065525.pdf,9,31.03.2012,Notes Rs.'000 Rs.'000 Rs.'000 Rs.'000 Rs.'000 Rs.'000
670_1368615065525.pdf,9,31.03.2012,"Turnover A 19,786,485 (92,820) 1 9,693,665 1,798,644 - 1 ,798,644"
670_1368615065525.pdf,9,31.03.2012,"Cost of Sales B ( 16,344,798) 149,532 (16,195,266) ( 1,449,966) (1,427) (1,451,393)"
670_1368615065525.pdf,9,31.03.2012,"Other Income C 1,216,969 29,101 1 ,246,070 1,148,171 87,032 1 ,235,203"
670_1368615065525.pdf,9,31.03.2012,"Distribution Expenses ( 453,411) - (453,411) ( 15,993) - (15,993)"
670_1368615065525.pdf,9,31.03.2012,"Provision for diminution value of Investments - - - ( 150,000) - (150,000)"
670_1368615065525.pdf,9,31.03.2012,"Net Finance cost E ( 212,111) (42,318) (254,429) 37,159 (94,363) (57,204)"
670_1368615065525.pdf,9,31.03.2012,"Profit Before Tax 2,384,149 53,526 2 ,437,675 1,080,277 (17,517) 1 ,071,519"
670_1368615065525.pdf,9,31.03.2012,"Profit for the year 2,093,981 48,773 2 ,142,754 1,082,693 (17,370) 1 ,065,323"
670_1368615065525.pdf,9,31.03.2012,"Equity holders of the Company 1,866,627 39,347 1 ,905,974 1,082,693 (17,370) 1 ,065,323"
670_1368615065525.pdf,9,31.03.2012,"Non-controlling interest G 227,354 9,426 2 36,780 - - -"
670_1368615065525.pdf,14,01.04.2011,7. Notes to the SLFRS/LKAS reconciliations for the Net Assets as at 01.04.2011 & 31.03.2012 and
670_1368615065525.pdf,14,01.04.2011,Income RSet-acltaessmificeantito nf oorf Btihoelo gyiceaal ars seentsd aendd v 3al1ua.t0io3n. 2of0 B1io2lo.g ical assets at fair value had a positive Rs.40M and positive Rs.192M effect on
670_1368615065525.pdf,14,01.04.2011,"effect on Company a Rs.1,351M and Rs. Nil as at 01.04.2011 and 31.03.2012 respectively. The same had a positive effect on Group a"
670_1368615065525.pdf,14,01.04.2011,per LKAS 32 which had a negative effect of Rs.194M and Rs. Nil on Company as at 01.04.2011 and 31.03.2012 respectively. The same
670_1368615065525.pdf,14,01.04.2011,had a had a negative effect of Rs.197M and Rs.3M on Group as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,14,01.04.2011,Re-classification of Formers (Mauls) under Non - current assets had a negative effect of Rs.29 and Rs.44 on Inventory value of the
670_1368615065525.pdf,14,01.04.2011,company as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,14,01.04.2011,The same had a negative effect of Rs.167M and Rs.189M on Inventory value of Group as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,14,01.04.2011,negative Rs.30M and negative Rs.62M on Group Inventory values as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,14,01.04.2011,effect on Company of Rs. 71M and Rs.107M as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,14,01.04.2011,The same had a negative effect on Group of Rs. 279M and Rs.290M as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,14,01.04.2011,The effect of above Note N on Advance and prepayments of the company was a positive Rs. Rs. 71M and Rs.107M as at 01.04.2011 and
670_1368615065525.pdf,14,01.04.2011,The same had an effect on Group of a positive Rs. 279M and Rs.290M as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,14,01.04.2011,positive effect on Company of a positive Rs. 17M and Rs.3M as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,14,01.04.2011,Re-Classification of Short Term Investments under other current financial assets had a negative effect on Group of Rs. 9M and Rs.8M
670_1368615065525.pdf,14,01.04.2011,"01.04.2011 and 31.03.2012 respectively. The same had a positive effect on Group reserves of Rs. 1,157M and Rs.Nil as at 01.04.2011"
670_1368615065525.pdf,15,01.04.2011,7. Notes to the SLFRS/LKAS reconciliations for the Net Assets as at 01.04.2011 & 31.03.2012 and
670_1368615065525.pdf,15,01.04.2011,The re-measurement changes had a positive effect on Company Retained Earnings of Rs. 79M and Rs.62M as at 01.04.2011 and
670_1368615065525.pdf,15,01.04.2011,The same had a positive effect on Group Retained Earnings of Rs. 437M and Rs.505M as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,15,01.04.2011,company had a negative effect of Rs. 4M and Rs.12M as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,15,01.04.2011,valuation of biological assets of the Group had a negative effect of Rs.44M and Rs.35M as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,15,01.04.2011,January 2011 which has a positive effect of Rs.68M and Rs.112M as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,15,01.04.2011,Other current financial liability in Company of Rs.2M and Rs. Nil as at 01.04.2011 and 31.03.2012 respectively. The same resulted a
670_1368615065525.pdf,15,01.04.2011,Other current financial liability in Group of Rs.2M and Rs.9M as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,15,01.04.2011,It had a positive effect on Company of Rs.11M and Rs.11M as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,15,01.04.2011,The same had a positive effect on Group of Rs.26M and Rs.19M as at 01.04.2011 and 31.03.2012 respectively.
670_1368615065525.pdf,15,01.04.2011,The effect on the above Note W had a negative effect on Company of Rs.11M and Rs.11M as at 01.04.2011 and 31.03.2012
